lat_rounded,lng_rounded,price,m2,unit_price
39.9066,32.8173,420000,130.0,3230.769230769231
39.8836,32.8177,365000,145.0,2517.2413793103447
39.8877,32.8182,495000,150.0,3300.0
39.9282,32.853,175000,92.0,1902.1739130434783
39.8902,32.8355,245000,140.0,1750.0
39.9256,32.8557,310000,135.0,2296.296296296296
39.8879,32.8188,450000,130.0,3461.5384615384614
39.9287,32.846,400000,140.0,2857.1428571428573
39.9076,32.8162,460000,150.0,3066.6666666666665
39.9299,32.8453,345000,120.0,2875.0
39.91,32.819,269000,130.0,2069.230769230769
39.8657,32.8553,775000,260.0,2980.769230769231
39.8835,32.8239,480000,180.0,2666.6666666666665
39.9181,32.815,275000,200.0,1375.0
39.9136,32.7697,740000,170.0,4352.941176470588
39.9051,32.8093,910000,210.0,4333.333333333333
39.8901,32.8274,230000,115.0,2000.0
39.9249,32.8278,315000,110.0,2863.6363636363635
39.9038,32.805,770000,190.0,4052.6315789473683
39.8835,32.8205,398000,115.0,3460.8695652173915
39.89,32.8253,395000,150.0,2633.3333333333335
39.9115,32.8578,265000,135.0,1962.962962962963
39.8893,32.8287,275000,110.0,2500.0
39.8979,32.8665,670000,180.0,3722.222222222222
39.9083,32.8108,900000,180.0,5000.0
39.8953,32.8363,180000,130.0,1384.6153846153845
39.9129,32.7715,800000,220.0,3636.3636363636365
39.8748,32.8624,357000,155.0,2303.2258064516127
39.8929,32.8285,395000,145.0,2724.137931034483
39.8874,32.8289,300000,130.0,2307.6923076923076
39.8876,32.84,225000,110.0,2045.4545454545455
39.9271,32.8275,320000,200.0,1600.0
39.9203,32.8592,195000,65.0,3000.0
39.872,32.8611,385000,120.0,3208.3333333333335
39.8694,32.8596,625000,138.0,4528.985507246377
39.9297,32.8233,655000,196.0,3341.8367346938776
39.9238,32.8526,450000,206.0,2184.4660194174758
39.9183,32.8562,145000,65.0,2230.769230769231
39.8803,32.814,535000,230.0,2326.086956521739
39.8966,32.8199,275000,110.0,2500.0
39.9235,32.8508,225000,125.0,1800.0
39.9053,32.8172,560000,180.0,3111.1111111111113
39.9185,32.8599,545000,160.0,3406.25
39.9216,32.8471,500000,270.0,1851.851851851852
39.9017,32.877,165000,90.0,1833.3333333333333
39.8675,32.8653,575000,220.0,2613.6363636363635
39.894,32.8245,550000,250.0,2200.0
39.8873,32.8361,139000,50.0,2780.0
39.9157,32.7708,450000,85.0,5294.117647058823
39.893,32.8183,350000,120.0,2916.6666666666665
39.9201,32.8592,400000,170.0,2352.9411764705883
39.9193,32.862,268000,115.0,2330.4347826086955
39.8887,32.8257,280000,120.0,2333.3333333333335
39.8723,32.8117,400000,265.0,1509.433962264151
39.8801,32.8138,575000,230.0,2500.0
39.9254,32.8523,265000,85.0,3117.6470588235293
39.9036,32.8202,315000,180.0,1750.0
39.9177,32.8541,550000,185.0,2972.972972972973
39.8892,32.8172,259000,120.0,2158.3333333333335
39.8878,32.8249,295000,115.0,2565.217391304348
39.892,32.8287,295000,130.0,2269.230769230769
39.8995,32.8791,400000,145.0,2758.6206896551726
39.9245,32.8496,245000,110.0,2227.2727272727275
39.8742,32.6505,350000,95.0,3684.2105263157896
39.8832,32.8261,300000,250.0,1200.0
39.8773,32.6564,450000,95.0,4736.8421052631575
39.9226,32.8495,275000,160.0,1718.75
39.9057,32.8228,320000,110.0,2909.090909090909
39.9284,32.8461,275000,120.0,2291.6666666666665
39.9196,32.8606,250000,90.0,2777.777777777778
39.9326,32.8298,300000,105.0,2857.1428571428573
39.894,32.8232,460000,200.0,2300.0
39.8816,32.8152,460000,125.0,3680.0
39.8947,32.8063,665000,170.0,3911.764705882353
39.9142,32.7692,395000,90.0,4388.888888888889
39.8819,32.662,395000,143.0,2762.237762237762
39.8773,32.6572,530000,120.0,4416.666666666667
39.924,32.8527,249000,110.0,2263.6363636363635
39.9133,32.7694,1250000,200.0,6250.0
39.9173,32.8602,310000,135.0,2296.296296296296
39.8957,32.8578,295000,150.0,1966.6666666666667
39.9076,32.8612,340000,115.0,2956.521739130435
39.9334,32.8565,450000,200.0,2250.0
39.9658,32.9423,84000,50.0,1680.0
39.9053,32.8046,775000,180.0,4305.555555555556
39.8752,32.6544,375000,70.0,5357.142857142857
39.924,32.8494,160000,55.0,2909.090909090909
39.896,32.8579,323000,140.0,2307.1428571428573
39.8882,32.8272,435000,170.0,2558.823529411765
39.8848,32.8672,1070000,235.0,4553.191489361702
39.8893,32.826,325000,150.0,2166.6666666666665
39.9457,32.8547,98000,85.0,1152.9411764705883
39.8928,32.8276,295000,150.0,1966.6666666666667
39.9288,32.8522,230000,100.0,2300.0
39.9057,32.8608,370000,120.0,3083.3333333333335
39.9315,32.8302,890000,160.0,5562.5
39.9058,32.8621,375000,100.0,3750.0
39.9092,32.8177,445000,150.0,2966.6666666666665
39.874,32.8232,395000,105.0,3761.904761904762
39.9152,32.857,315000,130.0,2423.076923076923
39.8912,32.8544,325000,120.0,2708.3333333333335
39.9183,32.8551,225000,85.0,2647.0588235294117
39.8631,32.7135,550000,110.0,5000.0
39.9228,32.8521,265000,120.0,2208.3333333333335
39.8926,32.8576,390000,120.0,3250.0
39.8791,32.8375,158000,120.0,1316.6666666666667
39.8899,32.8406,208000,75.0,2773.3333333333335
39.893,32.8855,289000,130.0,2223.076923076923
39.9316,32.844,275000,120.0,2291.6666666666665
39.8927,32.8161,320000,157.0,2038.216560509554
39.8853,32.8545,545000,160.0,3406.25
39.8936,32.8259,310000,155.0,2000.0
39.8781,32.8363,289000,125.0,2312.0
39.8891,32.87,800000,210.0,3809.5238095238096
39.9239,32.8528,148000,85.0,1741.1764705882354
39.8936,32.8277,270000,130.0,2076.923076923077
39.8716,32.6462,330000,85.0,3882.3529411764707
39.8962,32.878,390000,125.0,3120.0
39.8962,32.8205,350000,130.0,2692.3076923076924
39.9187,32.859,570000,200.0,2850.0
39.9126,32.7724,550000,185.0,2972.972972972973
39.875,32.8619,327000,170.0,1923.5294117647059
39.9183,32.8576,385000,165.0,2333.3333333333335
39.8909,32.8242,455000,135.0,3370.3703703703704
39.9236,32.8543,360000,75.0,4800.0
39.8863,32.8711,390000,200.0,1950.0
39.9152,32.8427,165000,45.0,3666.6666666666665
39.9205,32.86,330000,125.0,2640.0
39.9144,32.7691,610000,150.0,4066.6666666666665
39.8954,32.8507,248000,125.0,1984.0
39.892,32.8534,325000,130.0,2500.0
39.8929,32.8415,242000,110.0,2200.0
39.8805,32.8176,520000,250.0,2080.0
39.9239,32.8483,340000,160.0,2125.0
39.8753,32.8603,465000,225.0,2066.6666666666665
39.9341,32.8391,285000,145.0,1965.5172413793102
39.8926,32.8285,245000,110.0,2227.2727272727275
39.9197,32.859,365000,165.0,2212.121212121212
39.8672,32.8555,450000,150.0,3000.0
39.9253,32.8601,175000,100.0,1750.0
39.9044,32.8702,89000,68.0,1308.8235294117646
39.8719,32.8622,450000,140.0,3214.285714285714
39.8866,32.829,225000,110.0,2045.4545454545455
39.8805,32.8379,177000,100.0,1770.0
39.8937,32.8472,295000,110.0,2681.818181818182
39.9556,32.8649,149000,85.0,1752.9411764705883
39.8807,32.8351,700000,250.0,2800.0
39.8903,32.829,340000,145.0,2344.8275862068967
39.8612,32.8549,280000,130.0,2153.846153846154
39.9136,32.8586,310000,140.0,2214.285714285714
39.9336,32.8588,295000,180.0,1638.888888888889
39.916,32.7708,810000,220.0,3681.818181818182
39.9048,32.8091,1100000,210.0,5238.0952380952385
39.9064,32.8611,450000,90.0,5000.0
39.8942,32.8562,299000,150.0,1993.3333333333333
39.9283,32.8526,685000,160.0,4281.25
39.8867,32.8313,400000,240.0,1666.6666666666667
39.8963,32.8793,575000,150.0,3833.3333333333335
39.8873,32.8293,320000,145.0,2206.896551724138
39.9253,32.8601,170000,100.0,1700.0
39.8888,32.8245,335000,150.0,2233.3333333333335
39.891,32.8276,550000,280.0,1964.2857142857142
39.9146,32.8596,320000,110.0,2909.090909090909
39.8642,32.8578,495000,145.0,3413.793103448276
39.8929,32.8258,158000,90.0,1755.5555555555557
39.8998,32.8603,520000,180.0,2888.8888888888887
39.9188,32.8596,650000,235.0,2765.9574468085107
39.8985,32.8536,265000,84.0,3154.7619047619046
39.8937,32.8559,680000,220.0,3090.909090909091
39.9055,32.8058,875000,170.0,5147.058823529412
39.877,32.8262,395000,250.0,1580.0
39.8907,32.8696,650000,250.0,2600.0
39.9,32.8012,650000,180.0,3611.1111111111113
39.8964,32.8648,380000,150.0,2533.3333333333335
39.9091,32.8599,375000,135.0,2777.777777777778
39.9226,32.8246,315000,110.0,2863.6363636363635
39.8997,32.8095,825000,170.0,4852.941176470588
39.9251,32.858,285000,110.0,2590.909090909091
39.9223,32.8611,290000,135.0,2148.1481481481483
39.8971,32.8754,225000,120.0,1875.0
39.9261,32.8526,214000,110.0,1945.4545454545455
39.911,32.8582,245000,105.0,2333.3333333333335
39.9155,32.7719,450000,90.0,5000.0
39.8789,32.8806,365000,156.0,2339.74358974359
39.8795,32.8166,278000,140.0,1985.7142857142858
39.9031,32.8155,530000,160.0,3312.5
39.9304,32.8339,385000,130.0,2961.5384615384614
39.8848,32.8519,620000,200.0,3100.0
39.8901,32.8275,420000,250.0,1680.0
39.9251,32.8283,310000,200.0,1550.0
39.9056,32.8177,465000,180.0,2583.3333333333335
39.9186,32.8553,245000,60.0,4083.3333333333335
39.8883,32.8272,320000,118.0,2711.864406779661
39.907,32.8607,300000,130.0,2307.6923076923076
39.8941,32.8258,190000,115.0,1652.1739130434783
39.9307,32.8233,1049000,220.0,4768.181818181818
39.8906,32.8558,550000,168.0,3273.809523809524
39.9066,32.8624,650000,200.0,3250.0
39.889,32.841,289000,145.0,1993.103448275862
39.8972,32.8192,259000,115.0,2252.1739130434785
39.8769,32.835,175000,95.0,1842.1052631578948
39.9255,32.8577,225000,100.0,2250.0
39.9205,32.8519,445000,160.0,2781.25
39.9299,32.8452,260000,120.0,2166.6666666666665
39.8785,32.8795,290000,165.0,1757.5757575757575
39.8841,32.8142,399000,170.0,2347.0588235294117
39.9124,32.7678,1400000,220.0,6363.636363636364
39.9138,32.7719,535000,87.0,6149.425287356322
39.8931,32.8284,210000,140.0,1500.0
39.9207,32.8578,265000,240.0,1104.1666666666667
39.8973,32.8194,261000,130.0,2007.6923076923076
39.8876,32.8304,470000,140.0,3357.1428571428573
39.8913,32.8371,252000,130.0,1938.4615384615386
39.9138,32.8592,430000,130.0,3307.6923076923076
39.8877,32.8313,550000,170.0,3235.294117647059
39.9334,32.8413,258000,115.0,2243.478260869565
39.8907,32.8688,410000,145.0,2827.5862068965516
39.934,32.8399,258000,115.0,2243.478260869565
39.8981,32.8755,160000,120.0,1333.3333333333333
39.909,32.8225,350000,150.0,2333.3333333333335
39.8664,32.8624,300000,150.0,2000.0
39.9134,32.8578,450000,165.0,2727.2727272727275
39.9129,32.7678,675000,173.0,3901.734104046243
39.9219,32.8564,190000,100.0,1900.0
39.9185,32.846,145000,55.0,2636.3636363636365
39.8969,32.8756,210000,140.0,1500.0
39.926,32.8526,180000,75.0,2400.0
39.9032,32.8204,215000,110.0,1954.5454545454545
39.8996,32.804,630000,155.0,4064.516129032258
39.8963,32.8586,335000,100.0,3350.0
39.8294,32.7099,312000,70.0,4457.142857142857
39.9227,32.8595,227000,120.0,1891.6666666666667
39.9253,32.8598,246000,100.0,2460.0
39.8918,32.8277,240000,160.0,1500.0
39.896,32.8533,310000,120.0,2583.3333333333335
39.8706,32.6497,350000,244.0,1434.4262295081967
39.8764,32.8652,490000,165.0,2969.6969696969695
39.8992,32.8762,380000,280.0,1357.142857142857
39.9134,32.7677,665000,175.0,3800.0
39.9112,32.7684,840000,185.0,4540.540540540541
39.9275,32.8465,260000,125.0,2080.0
39.9096,32.8188,250000,60.0,4166.666666666667
39.8962,32.8582,340000,100.0,3400.0
39.9027,32.8608,1050000,220.0,4772.727272727273
39.8843,32.8567,700000,110.0,6363.636363636364
39.8855,32.8277,380000,140.0,2714.285714285714
39.9136,32.8588,300000,180.0,1666.6666666666667
39.9214,32.8196,345000,110.0,3136.3636363636365
39.9283,32.8543,395000,150.0,2633.3333333333335
39.9141,32.7702,475000,170.0,2794.1176470588234
39.923,32.8564,250000,160.0,1562.5
39.9215,32.8516,399000,120.0,3325.0
39.8483,32.8557,418000,88.0,4750.0
39.8618,32.8569,345000,150.0,2300.0
39.8732,32.8274,275000,90.0,3055.5555555555557
39.9106,32.7593,825000,150.0,5500.0
39.9089,32.8613,370000,160.0,2312.5
39.9222,32.8597,270000,140.0,1928.5714285714287
39.9179,32.8564,360000,125.0,2880.0
39.8778,32.8804,260000,76.0,3421.0526315789475
39.8906,32.8162,435000,140.0,3107.1428571428573
39.9208,32.8509,523000,95.0,5505.263157894737
39.9155,32.7687,510000,135.0,3777.777777777778
39.9129,32.7701,735000,200.0,3675.0
39.8894,32.8257,345000,135.0,2555.5555555555557
39.8779,32.8277,650000,250.0,2600.0
39.9205,32.8575,480000,150.0,3200.0
39.8921,32.8276,560000,220.0,2545.4545454545455
39.8945,32.8206,385000,150.0,2566.6666666666665
39.9245,32.8493,175000,65.0,2692.3076923076924
39.8902,32.8704,500000,140.0,3571.4285714285716
39.907,32.8173,345000,106.0,3254.7169811320755
39.9067,32.8548,296000,100.0,2960.0
39.8922,32.8278,269000,115.0,2339.1304347826085
39.904,32.8165,210000,50.0,4200.0
39.9263,32.8592,260000,90.0,2888.8888888888887
39.893,32.8773,450000,145.0,3103.448275862069
39.8874,32.8278,305000,120.0,2541.6666666666665
39.8927,32.8168,495000,126.0,3928.5714285714284
39.9219,32.8495,375000,120.0,3125.0
39.9219,32.8502,550000,200.0,2750.0
39.8936,32.8168,420000,120.0,3500.0
39.8983,32.8779,347000,130.0,2669.230769230769
39.8886,32.8711,345000,110.0,3136.3636363636365
39.9074,32.8572,485000,200.0,2425.0
39.9107,32.8615,475000,145.0,3275.862068965517
39.8969,32.8728,670000,240.0,2791.6666666666665
39.9243,32.8558,400000,140.0,2857.1428571428573
39.8937,32.8768,610000,200.0,3050.0
39.8938,32.8413,159000,65.0,2446.153846153846
39.8862,32.8261,220000,90.0,2444.4444444444443
39.908,32.8572,385000,140.0,2750.0
39.9175,32.8565,183000,77.0,2376.6233766233768
39.8943,32.827,175000,155.0,1129.032258064516
39.9241,32.8518,300000,90.0,3333.3333333333335
39.8828,32.8724,190000,120.0,1583.3333333333333
39.9115,32.8208,410000,155.0,2645.1612903225805
39.9433,32.8531,120000,90.0,1333.3333333333333
39.9072,32.8208,370000,70.0,5285.714285714285
39.9137,32.857,350000,160.0,2187.5
39.9244,32.8519,348000,140.0,2485.714285714286
39.9298,32.8216,420000,160.0,2625.0
39.9244,32.8488,260000,110.0,2363.6363636363635
39.8946,32.8245,275000,115.0,2391.304347826087
39.9274,32.8505,250000,90.0,2777.777777777778
39.9072,32.8596,495000,280.0,1767.857142857143
39.8697,32.8435,140000,75.0,1866.6666666666667
39.9014,32.8749,195000,90.0,2166.6666666666665
39.9134,32.7689,425000,130.0,3269.230769230769
39.894,32.8567,470000,170.0,2764.705882352941
39.8871,32.83,285000,145.0,1965.5172413793102
39.9232,32.8569,210000,95.0,2210.5263157894738
39.9248,32.8597,270000,145.0,1862.0689655172414
39.8837,32.8176,420000,140.0,3000.0
39.922,32.8579,315000,130.0,2423.076923076923
39.8081,32.703,310000,150.0,2066.6666666666665
39.8995,32.8846,255000,70.0,3642.8571428571427
39.9095,32.8276,290000,90.0,3222.222222222222
39.8945,32.6968,1425000,276.0,5163.04347826087
39.863,32.859,620000,240.0,2583.3333333333335
39.9197,32.8591,359000,165.0,2175.757575757576
39.9191,32.8611,365000,120.0,3041.6666666666665
39.9231,32.8563,350000,120.0,2916.6666666666665
39.9226,32.8325,575000,120.0,4791.666666666667
39.9088,32.8223,695000,280.0,2482.1428571428573
39.9266,32.8229,365000,95.0,3842.1052631578946
39.9302,32.845,350000,145.0,2413.793103448276
39.9223,32.8527,370000,140.0,2642.8571428571427
39.92,32.8572,197000,160.0,1231.25
39.8841,32.8522,600000,160.0,3750.0
39.8875,32.8293,455000,220.0,2068.181818181818
39.9231,32.8563,205000,140.0,1464.2857142857142
